score_2025,rank_2025,level,source_college,source_major_2025,match_status,match_count,official_college_code,official_college_name,official_major_code,official_major_name_2026,plan_num_2026,major_attr_2026,major_remark_2026,first_subject,reselect_subject,tuition,plan_id
682,282,985,哈尔滨工业大学,工科试验班(自主智能系统院士特色班)(自动化、人工智能、探测制导与控制技术、智能装备与系统、机器人工程),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
681,312,985,中国人民大学,理科试验班(金融与大数据技术创新人才班)[金融工程(财政金融学院金融学与大数据技术双学位项目)],exact_school_major,1,0002,中国人民大学,H4,理科试验班(金融与大数据技术创新人才班)[金融工程(财政金融学院金融学与大数据技术双学位项目)],2,,"[财政金融学院(金融学)与信息学院(数据科学与大数据技术)共同培养,毕业获经济学、工学双主学士学位](通州校区)",物理,化学,5000,1_3_0002_5_H4
681,312,985,中国人民大学,计算机类(计算机科学与技术、信息安全、数据科学与大数据技术、信息管理与信息系统),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
681,312,985,北京大学医学部,临床医学,exact_school_major,1,9001,北京大学医学部,03,临床医学,3,,(色盲不予录取),物理,化学,6000,1_3_9001_5_03
681,312,985,南京大学,电子信息类(电子信息科学与技术、通信工程、微电子科学与工程、集成电路设计与集成系统),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
681,312,985,南京大学,理科试验班(匡亚明学院大理科班)[数学与应用数学、信息与计算科学、物理学、化学、天文学、生物科学、生物科学(生物化学与分子生物学方向)、计算机科学与技术、计算机科学与技术(脑科学与AI方向)],unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
681,312,985,复旦大学医学院,临床医学(八年制临床医师班),exact_school_major,1,9246,复旦大学医学院,A2,临床医学(八年制临床医师班),2,,,物理,化学,8140,1_3_9246_5_A2
680,336,985,中国人民大学,理科试验班(金融学与数学创新人才班)[金融工程(财政金融学院金融学与数学双学位项目)],exact_school_major,1,0002,中国人民大学,H3,理科试验班(金融学与数学创新人才班)[金融工程(财政金融学院金融学与数学双学位项目)],1,,"[财政金融学院(金融学)与数学学院(数学与应用数学)共同培养,毕业获经济学、理学双主学士学位](通州校区)",物理,化学,5000,1_3_0002_5_H3
680,336,985,北京航空航天大学,工科试验班类(未来空天领军计划)(智能飞行器技术、智能感知工程、智能制造工程、空天智能电推进技术、飞行器设计与工程、飞行器动力工程、材料科学与工程、交通运输、智慧交通、人工智能、网络空间安全、空间科学与技术),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
679,366,985,中国科学技术大学,工科试验班(航空航天、人形机器人、低碳能源技术及安全)(机器人工程、理论与应用力学、机械设计制造及其自动化、测控技术与仪器、能源与动力工程、安全工程),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
679,366,985,中国科学技术大学,工科试验班(信息智能方向)[计算机类、计算机类(华夏计算机科技英才班)、电子信息类、电子信息类(信息科技英才班)、人工智能、集成电路设计与集成系统、网络空间安全],unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
679,366,985,南京大学,软件工程,unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
679,366,985,南京大学,计算机科学与技术(计算机金融实验班),exact_school_major,1,0284,南京大学,80,计算机科学与技术(计算机金融实验班),2,,(含双学士学位),物理,化学,6050,1_3_0284_5_80
678,399,985,中国科学技术大学,理科试验班类[量子信息科学(未来技术学院)、数学类、数学类(华罗庚数学科技英才班)、物理学类、物理学类(严济慈物理科技英才班)、化学类(卢嘉锡化学科技英才班)、生物科学类(贝时璋生命科技英才班)、空间科学与技术(赵九章现代地球和空间科技英才班)、金融学、大数据管理与应用、统计学],unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
678,399,985,北京航空航天大学,数学与应用数学(拔尖学生培养计划),exact_school_major,1,0006,北京航空航天大学,04,数学与应用数学(拔尖学生培养计划),3,,(含数学与应用数学-计算机科学与技术双学士学位项目),物理,化学,5500,1_3_0006_5_04
678,399,985,北京航空航天大学,人工智能(卓越人才培养试验班),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
678,399,985,北京航空航天大学,工科试验班类(未来工程师项目制育人试验班)(人工智能、自动化、低空技术与工程、机器人工程、飞行器设计与工程、车辆工程、飞行器控制与信息工程、飞行器动力工程),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
